date,GDP (Billion US$),Inflation (annual %),Population (Million)
1960,37.0298838761839,1.77987784677382,435.990338
1961,39.2324357840358,1.69521293914433,446.564729
1962,42.1614818580819,3.63221497106987,457.28309
1963,48.4219234591235,2.94616135685229,468.138575
1964,56.4802899409899,13.3552611508153,479.229598
1965,59.556105229005205,9.47475859170699,490.140146
1966,45.581230504071,10.8018483489342,500.740247
1967,50.134942204,13.062202477797,511.606372
1968,53.0854558706667,3.23741242627502,522.716889
1969,58.4479950173333,-0.584136610466349,533.880544
1970,62.4224830546667,5.09226161997552,545.864268
1971,67.351404351833,3.07993868406537,558.096387
1972,71.46470066698689,6.44209746158243,570.482142
1973,85.5176731725513,16.9408159791736,583.465598
1974,99.5265979336331,28.598734077509,597.041391
1975,98.4738320173242,5.74843029767437,611.309535
1976,102.71645197967999,-7.63394763392882,625.861883
1977,121.486641441309,8.30747009171166,640.801103
1978,137.302319828995,2.5230487569518,655.728229
1979,152.995442497709,6.27568336762335,671.155747
1980,186.328579302068,11.3460734795095,687.354025
1981,193.491368445573,13.112546897642,703.69625
1982,200.71562483090202,7.89074279377487,720.313473
1983,218.26214641315798,11.8680812986734,737.372681
1984,212.157645177652,8.3189071186008,754.875449
1985,232.511554840372,5.55642423236554,772.647793
1986,248.98599404059,8.72972072702581,790.689978
1987,279.033584092223,8.80112581251833,808.93127
1988,296.589670895932,9.38347186185335,827.34299
1989,296.04205294466,7.07428002942301,846.039529
1990,320.979026420035,8.9712325027325,864.972221
1991,270.105341879226,13.8702461773683,883.9276
1992,288.208070278013,11.7878170418134,902.95707
1993,279.295648982529,6.32689048779867,922.118387
1994,327.274843459429,10.2479355556119,941.163767
1995,360.28190964348903,10.2248861637544,960.301044
1996,392.896866204516,8.97715233826453,979.678458
1997,415.86756359282896,7.16425211462724,999.133762
1998,421.351317224941,13.2308389767977,1018.66508
1999,458.82105261579,4.66982038037594,1038.225823
2000,468.395521654458,4.0094359104519,1057.922733
2001,485.44013920417103,3.77929312235637,1077.898575
2002,514.939140318756,4.29715203929563,1097.60038
2003,607.700687237318,3.80585899528851,1116.803006
2004,709.152728830775,3.76725173477515,1135.991513
2005,820.383763511445,4.24634362031922,1154.676322
2006,940.2598887877209,5.79652337561634,1172.87889
2007,1216.73643883496,6.37288135593231,1190.676021
2008,1198.8951390059199,8.34926704907581,1207.930964
2009,1341.8880169949,10.8823529411764,1225.524753
2010,1675.61551948496,11.9893899204244,1243.481564
2011,1823.05182989455,8.91179336483371,1261.224954
2012,1827.63759041041,9.47899691419801,1278.674502
2013,1856.72150762158,10.0178784746102,1295.829511
2014,2039.12647915452,6.66565671867899,1312.277191
2015,2103.58836004494,4.90697344127256,1328.024498
2016,2294.79688566316,4.94821634062141,1343.944296
2017,2651.47426275545,3.32817337461298,1359.6574
2018,2702.92964164874,3.9388264669163,1374.659064
2019,2835.60625655819,3.72950573539129,1389.030312
2020,2674.85157858727,6.62343677628535,1402.617695
2021,3167.27062326047,5.13140747176369,1414.203896
2022,3353.4704968863302,6.69903414079852,1425.423212
2023,3567.5516746230096,5.64914318907925,1438.069596
2024,,4.95303550973656,
